,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,27735018.705592964,27735761.38529556,27714472.564860426,27734357.95542989,27744116.10124186,27743461.83140346
10,27735018.705592964,27735761.38529556,22805583.47588425,22820310.29564284,22817056.65017253,22809164.24936121
9,27735018.705592964,27735761.38529556,20727364.60135491,20743016.668774888,20738150.238699444,20731310.641181998
8,27735018.705592964,27735761.38529556,20727364.60135491,20777443.661491662,20769181.271317754,20764048.85920773
7,27735018.705592964,27735761.38529556,20727364.60135491,20777443.661491662,20769181.271317754,20467802.70572737
6,27735018.705592964,27735761.38529556,20727364.60135491,20494178.70458705,20485655.9628913,20479467.485221833
5,27735018.705592964,27735761.38529556,20727364.60135491,20494178.70458705,20485655.9628913,20380472.533205464
4,27735018.705592964,27735761.38529556,20727364.60135491,20467197.04827658,20452399.09085308,20439521.282338597
3,27735018.705592964,27735761.38529556,20727364.60135491,20467197.04827658,20452399.09085308,20462068.039617725
2,27735018.705592964,27735761.38529556,20727364.60135491,20467197.04827658,20472186.03268919,20462068.039617725
1,27735018.705592964,27735761.38529556,20427464.593212485,20467197.04827658,20472186.03268919,20462068.039617725
