,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,27735018.70559297,27735761.385295566,27714472.56486042,27734357.955429893,27744116.101241875,27743461.83140345
10,27735018.70559297,27735761.385295566,35498377.05808428,35505907.94207301,35511389.00108044,35478172.22575892
9,27735018.70559297,27735761.385295566,35499619.40386084,35505439.87055565,35504821.8948766,35477427.33319268
8,27735018.70559297,27735761.385295566,35499619.40386084,35960412.94243926,35952292.115593016,35931186.161219575
7,27735018.70559297,27735761.385295566,35499619.40386084,35960412.94243926,35952292.115593016,35958937.41366054
6,27735018.70559297,27735761.385295566,35499619.40386084,35894149.51272461,35881952.84859273,35861231.07357341
5,27735018.70559297,27735761.385295566,35499619.40386084,35894149.51272461,35881952.84859273,36082178.72356099
4,27735018.70559297,27735761.385295566,35499619.40386084,36165681.13581966,36160922.20794023,36142695.93234023
3,27735018.70559297,27735761.385295566,35499619.40386084,36165681.13581966,36160922.20794023,36123246.57826192
2,27735018.70559297,27735761.385295566,35499619.40386084,36165681.13581966,36148650.526182435,36123246.57826192
1,27735018.70559297,27735761.385295566,36199277.08093515,36165681.13581966,36148650.526182435,36123246.57826192
