,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,27735018.705592964,27735761.38529556,27714472.564860426,27734357.95542989,27744116.10124186,27743461.83140346
10,27735018.705592964,27735761.38529556,34793099.33409039,34802792.090548694,34809925.2672747,34781894.65760922
9,27735018.705592964,27735761.38529556,34769439.500036515,34780543.45759455,34780450.66018786,34769376.067006014
8,27735018.705592964,27735761.38529556,34769439.500036515,35329337.075440094,35339688.94353801,35299433.86862608
7,27735018.705592964,27735761.38529556,34769439.500036515,35329337.075440094,35339688.94353801,35156799.892588966
6,27735018.705592964,27735761.38529556,34769439.500036515,35140082.874197535,35134535.21405288,35141091.53548457
5,27735018.705592964,27735761.38529556,34769439.500036515,35140082.874197535,35134535.21405288,35054289.59204108
4,27735018.705592964,27735761.38529556,34769439.500036515,35222508.72858802,35269847.84819764,35235849.68549341
3,27735018.705592964,27735761.38529556,34769439.500036515,35222508.72858802,35269847.84819764,35116527.29562238
2,27735018.705592964,27735761.38529556,34769439.500036515,35222508.72858802,35211464.10813244,35116527.29562238
1,27735018.705592964,27735761.38529556,35295126.24848845,35222508.72858802,35211464.10813244,35116527.29562238
