,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,27735018.705592964,27735761.38529556,27714472.564860426,27734357.95542989,27744116.10124186,27743461.83140346
10,27735018.705592964,27735761.38529556,36181377.61734611,36186675.594375566,36190387.714986145,36151849.78706019
9,27735018.705592964,27735761.38529556,36086557.117285036,36096720.431537144,36098222.42906316,36075827.22007606
8,27735018.705592964,27735761.38529556,36086557.117285036,36955773.711360365,36936374.99671395,36925545.062102884
7,27735018.705592964,27735761.38529556,36086557.117285036,36955773.711360365,36936374.99671395,37201450.49029371
6,27735018.705592964,27735761.38529556,36086557.117285036,36990464.74958627,36970100.40393575,36953200.124337226
5,27735018.705592964,27735761.38529556,36086557.117285036,36990464.74958627,36970100.40393575,37409548.598340705
4,27735018.705592964,27735761.38529556,36086557.117285036,37384413.39624703,37386947.11111101,37382391.83727264
3,27735018.705592964,27735761.38529556,36086557.117285036,37384413.39624703,37386947.11111101,37206490.623896725
2,27735018.705592964,27735761.38529556,36086557.117285036,37384413.39624703,37397620.92694876,37206490.623896725
1,27735018.705592964,27735761.38529556,37459372.57850389,37384413.39624703,37397620.92694876,37206490.623896725
