,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,27735018.70559297,27735761.385295566,27714472.56486042,27734357.955429893,27744116.101241875,27743461.83140345
10,27735018.70559297,27735761.385295566,27717918.129551798,27735440.47020674,27742336.812949788,27736611.840519894
9,27735018.70559297,27735761.385295566,27251545.46309403,27264740.718192346,27265389.184324518,27260995.16674269
8,27735018.70559297,27735761.385295566,27251545.46309403,27269701.533713073,27265747.685784843,27263431.865427934
7,27735018.70559297,27735761.385295566,27251545.46309403,27269701.533713073,27265747.685784843,27265597.51048118
6,27735018.70559297,27735761.385295566,27251545.46309403,27269470.226676535,27263038.776985217,27263263.710472826
5,27735018.70559297,27735761.385295566,27251545.46309403,27269470.226676535,27263038.776985217,27281123.700221732
4,27735018.70559297,27735761.385295566,27251545.46309403,27287492.2385088,27283604.624911107,27286761.46320768
3,27735018.70559297,27735761.385295566,27251545.46309403,27287492.2385088,27283604.624911107,27271873.25213911
2,27735018.70559297,27735761.385295566,27251545.46309403,27287492.2385088,27276945.791069422,27271873.25213911
1,27735018.70559297,27735761.385295566,27314775.09292392,27287492.2385088,27276945.791069422,27271873.25213911
