,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,2.9588128048159514e-126,3.1106736369180635e-127,2.960423013166571e-126,9.367069577219173e-127,9.31383942596634e-128,9.367193121810184e-127
10,2.9588128048159514e-126,3.1106736369180635e-127,6.874058764745368e-06,5.7428351007804055e-06,5.245996452992082e-06,6.090860680582003e-06
9,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.15723190558651645,0.158581234645173,0.1609377637158869
8,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.3242950246544667,0.3312289475466325,0.32900727038622185
7,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.3242950246544667,0.3312289475466325,0.675033071653907
6,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.8269493726147243,0.8246941426774165,0.8084934557069028
5,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.8269493726147243,0.8246941426774165,0.9267288546631803
4,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.999378822962635,0.9994657952676717,0.9995461945407214
3,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.999378822962635,0.9994657952676717,0.999868716209274
2,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.999378822962635,0.9999681854562812,0.999868716209274
1,2.9588128048159514e-126,3.1106736369180635e-127,0.99950830652188,0.999378822962635,0.9999681854562812,0.999868716209274
