,ST,ST_conf_lower,ST_conf_upper
bankErosionCoeff,0.6162051014300383,0.6082237086854281,0.6256632581938306
eventMeanConcentration,0.014955562590487453,0.013065090252633027,0.017245528398941327
HillslopeFineSDR,0.04628218647587415,0.04311420284051195,0.049893208617819026
RiparianVegPercent,0.0667030038916697,0.06295083028782394,0.07077402234159197
USLE_HSDR_Fine,0.04118050117908586,0.038414480003374336,0.04431691006634758
A3,0.0003614976556008008,0.00011396759516570418,0.0009187199933559066
RainThreshold,0.0008025525654967254,0.00044147917711367436,0.001356533617405563
Beta,0.20755622703436358,0.20071770899997915,0.21504624745773215
LongTermAvDailyFlow,0.018440361459716247,0.016414674914659783,0.020897881280844702
Gully_Management_Practice_Factor,0.0003200846722998796,9.460163551631824e-05,0.0009123881082209514
maxRiparianVegEffectiveness,0.00028960007874049025,8.401517398811656e-05,0.0008521569997795354
